name,size,mean,std,max,min
model.layers.10.post_attention_layernorm.weight,"(1024,)",0.6844644546508789,0.039020463824272156,0.75390625,0.119140625
model.layers.11.self_attn.q_proj.weight,"(1024, 1024)",-4.572212492348626e-05,0.05920449644327164,0.470703125,-0.48046875
model.layers.11.self_attn.k_proj.weight,"(128, 1024)",0.00018052416271530092,0.05429336428642273,0.384765625,-0.34765625
model.layers.11.self_attn.v_proj.weight,"(128, 1024)",0.0002280767948832363,0.0667264312505722,0.318359375,-0.291015625
model.layers.11.self_attn.o_proj.weight,"(1024, 1024)",-3.879818905261345e-05,0.0628402829170227,0.66015625,-0.640625
model.layers.11.mlp.gate_proj.weight,"(4096, 1024)",-7.65947625041008e-05,0.06104127690196037,0.40234375,-0.3828125
model.layers.11.mlp.up_proj.weight,"(4096, 1024)",-1.84891396202147e-05,0.06437767297029495,0.3671875,-0.359375
model.layers.11.mlp.down_proj.weight,"(1024, 4096)",-8.875976345734671e-05,0.06299319118261337,1.03125,-1.34375
model.layers.11.input_layernorm.weight,"(1024,)",1.0199394226074219,0.06010901555418968,1.21875,0.5078125
model.layers.11.post_attention_layernorm.weight,"(1024,)",0.6898670196533203,0.03889264166355133,0.7734375,0.109375
model.layers.12.self_attn.q_proj.weight,"(1024, 1024)",0.00015009724302217364,0.054662201553583145,0.4375,-0.388671875
model.layers.12.self_attn.k_proj.weight,"(128, 1024)",0.00013300045975483954,0.047303471714258194,0.3515625,-0.44921875
model.layers.12.self_attn.v_proj.weight,"(128, 1024)",-0.00021116362768225372,0.07948710769414902,0.359375,-0.400390625
model.layers.12.self_attn.o_proj.weight,"(1024, 1024)",2.75334623438539e-05,0.06822182983160019,0.875,-0.83203125
model.layers.12.mlp.gate_proj.weight,"(4096, 1024)",-8.240070019382983e-05,0.06106400489807129,0.4140625,-0.5625
model.layers.12.mlp.up_proj.weight,"(4096, 1024)",5.1559662097133696e-05,0.06486249715089798,0.53515625,-0.46875
model.layers.12.mlp.down_proj.weight,"(1024, 4096)",2.3973965653567575e-05,0.06338272988796234,1.015625,-1.375
model.layers.12.input_layernorm.weight,"(1024,)",1.011495590209961,0.06325918436050415,1.1640625,0.453125
model.layers.12.post_attention_layernorm.weight,"(1024,)",0.7080216407775879,0.036938924342393875,0.78515625,0.11572265625
model.layers.13.self_attn.q_proj.weight,"(1024, 1024)",1.879269075288903e-05,0.056725066155195236,0.3671875,-0.419921875
model.layers.13.self_attn.k_proj.weight,"(128, 1024)",-4.209875260130502e-05,0.04952758923172951,0.3046875,-0.361328125
model.layers.13.self_attn.v_proj.weight,"(128, 1024)",-0.0002903963904827833,0.07658358663320541,0.365234375,-0.365234375
model.layers.13.self_attn.o_proj.weight,"(1024, 1024)",-9.917892748489976e-05,0.06713497638702393,0.6875,-0.73828125
model.layers.13.mlp.gate_proj.weight,"(4096, 1024)",-4.6815703171887435e-06,0.06100327894091606,0.3984375,-0.416015625
model.layers.13.mlp.up_proj.weight,"(4096, 1024)",3.903522883774713e-05,0.0649300217628479,0.46484375,-0.443359375
model.layers.13.mlp.down_proj.weight,"(1024, 4096)",8.497752787661739e-06,0.06346874684095383,1.0546875,-1.65625
model.layers.13.input_layernorm.weight,"(1024,)",1.0104560852050781,0.05488624423742294,1.140625,0.515625
model.layers.13.post_attention_layernorm.weight,"(1024,)",0.7407917976379395,0.03873173147439957,0.82421875,0.10107421875
model.layers.14.self_attn.q_proj.weight,"(1024, 1024)",-4.361423634691164e-05,0.05641951039433479,0.3515625,-0.33203125
model.layers.14.self_attn.k_proj.weight,"(128, 1024)",9.702798706712201e-05,0.04824753478169441,0.52734375,-0.375
model.layers.14.self_attn.v_proj.weight,"(128, 1024)",-8.440905367024243e-05,0.08308491110801697,0.365234375,-0.380859375
model.layers.14.self_attn.o_proj.weight,"(1024, 1024)",-0.000110007451439742,0.06801215559244156,1.03125,-0.93359375
model.layers.14.mlp.gate_proj.weight,"(4096, 1024)",1.206408160214778e-05,0.06044359132647514,0.4296875,-0.470703125
model.layers.14.mlp.up_proj.weight,"(4096, 1024)",1.0112720701727085e-05,0.0657096728682518,0.447265625,-0.46484375
model.layers.14.mlp.down_proj.weight,"(1024, 4096)",2.3778531613061205e-05,0.06420999020338058,1.359375,-1.3359375
model.layers.14.input_layernorm.weight,"(1024,)",0.9344730377197266,0.05513222515583038,1.0859375,0.498046875
model.layers.14.post_attention_layernorm.weight,"(1024,)",0.7539901733398438,0.03751160204410553,0.8203125,0.11328125
model.layers.15.self_attn.q_proj.weight,"(1024, 1024)",-2.8415233828127384e-05,0.052569109946489334,0.34765625,-0.333984375
model.layers.15.self_attn.k_proj.weight,"(128, 1024)",-0.00019995737238787115,0.04399481788277626,0.26953125,-0.302734375
model.layers.15.self_attn.v_proj.weight,"(128, 1024)",-8.459380478598177e-05,0.08517052233219147,0.3671875,-0.37890625
model.layers.15.self_attn.o_proj.weight,"(1024, 1024)",-8.795956819085404e-05,0.0696195662021637,1.2890625,-0.94140625
model.layers.15.mlp.gate_proj.weight,"(4096, 1024)",4.801878094440326e-05,0.06037934496998787,0.462890625,-0.5078125
model.layers.15.mlp.up_proj.weight,"(4096, 1024)",-2.418601252429653e-05,0.06603088229894638,0.404296875,-0.41015625
model.layers.15.mlp.down_proj.weight,"(1024, 4096)",5.948232137598097e-05,0.0644736960530281,1.3046875,-1.3515625
model.layers.15.input_layernorm.weight,"(1024,)",0.9817314147949219,0.05675246939063072,1.125,0.49609375
model.layers.15.post_attention_layernorm.weight,"(1024,)",0.7929868698120117,0.03825974091887474,0.859375,0.1123046875
model.layers.16.self_attn.q_proj.weight,"(1024, 1024)",6.631773430854082e-05,0.051987845450639725,0.34765625,-0.365234375
model.layers.16.self_attn.k_proj.weight,"(128, 1024)",-8.369457646040246e-05,0.04179868847131729,0.283203125,-0.267578125
model.layers.16.self_attn.v_proj.weight,"(128, 1024)",-0.000285574933513999,0.10721909254789352,0.5390625,-0.5234375
model.layers.16.self_attn.o_proj.weight,"(1024, 1024)",-4.638400059775449e-05,0.0766085684299469,0.75390625,-0.94140625
model.layers.16.mlp.gate_proj.weight,"(4096, 1024)",8.912371413316578e-05,0.060043927282094955,0.392578125,-0.6484375
model.layers.16.mlp.up_proj.weight,"(4096, 1024)",2.3522108676843345e-05,0.06642398238182068,0.49609375,-0.5703125
model.layers.16.mlp.down_proj.weight,"(1024, 4096)",-7.614521564391907e-07,0.0647289827466011,1.0859375,-1.5859375
model.layers.16.input_layernorm.weight,"(1024,)",1.0412635803222656,0.061545971781015396,1.2109375,0.58984375
model.layers.16.post_attention_layernorm.weight,"(1024,)",0.807368278503418,0.03809745982289314,0.87109375,0.1083984375
model.layers.17.self_attn.q_proj.weight,"(1024, 1024)",-2.3070466340868734e-05,0.05245406553149223,0.326171875,-0.40234375
model.layers.17.self_attn.k_proj.weight,"(128, 1024)",-4.181542317382991e-05,0.03974355012178421,0.30078125,-0.376953125
model.layers.17.self_attn.v_proj.weight,"(128, 1024)",-0.0005405083065852523,0.09994515776634216,0.53515625,-0.515625
model.layers.17.self_attn.o_proj.weight,"(1024, 1024)",-7.098710739228409e-06,0.07447440922260284,0.83984375,-1.0390625
model.layers.17.mlp.gate_proj.weight,"(4096, 1024)",9.147987293545157e-05,0.05961330235004425,0.365234375,-0.455078125
model.layers.17.mlp.up_proj.weight,"(4096, 1024)",-5.076539764559129e-06,0.06682208925485611,0.5,-0.48828125
model.layers.17.mlp.down_proj.weight,"(1024, 4096)",-8.006189455045387e-05,0.06504075974225998,1.40625,-1.765625
model.layers.17.input_layernorm.weight,"(1024,)",0.9791603088378906,0.05595453456044197,1.125,0.447265625
model.layers.17.post_attention_layernorm.weight,"(1024,)",0.8209609985351562,0.035858672112226486,0.8828125,0.1484375
model.layers.18.self_attn.q_proj.weight,"(1024, 1024)",0.00026513374177739024,0.047158680856227875,0.31640625,-0.298828125
model.layers.18.self_attn.k_proj.weight,"(128, 1024)",0.00016120383224915713,0.034811362624168396,0.28515625,-0.26171875
model.layers.18.self_attn.v_proj.weight,"(128, 1024)",-7.883794751251116e-05,0.11800754815340042,0.61328125,-0.6171875
model.layers.18.self_attn.o_proj.weight,"(1024, 1024)",0.00010286577162332833,0.08025971800088882,1.5,-1.1875
model.layers.18.mlp.gate_proj.weight,"(4096, 1024)",0.0001679689739830792,0.05973967909812927,0.400390625,-0.66015625
model.layers.18.mlp.up_proj.weight,"(4096, 1024)",-5.371234692574944e-07,0.06740158796310425,0.75390625,-0.90234375
model.layers.18.mlp.down_proj.weight,"(1024, 4096)",-8.45460090204142e-06,0.06555633991956711,1.2109375,-1.375
model.layers.18.input_layernorm.weight,"(1024,)",1.0710945129394531,0.07083158195018768,1.2734375,0.59765625
model.layers.18.post_attention_layernorm.weight,"(1024,)",0.8967494964599609,0.03782008960843086,0.95703125,0.0859375
model.layers.19.self_attn.q_proj.weight,"(1024, 1024)",1.532959140604362e-05,0.0519387386739254,0.333984375,-0.380859375
model.layers.19.self_attn.k_proj.weight,"(128, 1024)",4.306159826228395e-05,0.04148357734084129,0.28515625,-0.3046875
model.layers.19.self_attn.v_proj.weight,"(128, 1024)",0.00017189356731250882,0.09783370792865753,0.43359375,-0.41796875
model.layers.19.self_attn.o_proj.weight,"(1024, 1024)",-1.0378284969192464e-05,0.07488230615854263,0.7578125,-0.87890625
model.layers.19.mlp.gate_proj.weight,"(4096, 1024)",0.0001691658835625276,0.05971687287092209,0.392578125,-0.62109375
model.layers.19.mlp.up_proj.weight,"(4096, 1024)",-8.88389695319347e-06,0.06772807240486145,0.439453125,-0.6171875
model.layers.19.mlp.down_proj.weight,"(1024, 4096)",-4.739116775454022e-05,0.06582099944353104,0.9296875,-1.5859375
model.layers.19.input_layernorm.weight,"(1024,)",1.0248088836669922,0.0603303499519825,1.2265625,0.494140625
model.layers.19.post_attention_layernorm.weight,"(1024,)",0.9297580718994141,0.03947366401553154,1.0078125,0.09375
model.layers.20.self_attn.q_proj.weight,"(1024, 1024)",0.00015142030315473676,0.05464967340230942,0.427734375,-0.400390625
model.layers.20.self_attn.k_proj.weight,"(128, 1024)",0.00013915212184656411,0.043132565915584564,0.3359375,-0.423828125
model.layers.20.self_attn.v_proj.weight,"(128, 1024)",0.00012022982991766185,0.08953901380300522,0.41015625,-0.388671875
model.layers.20.self_attn.o_proj.weight,"(1024, 1024)",4.130139132030308e-05,0.0722382664680481,1.0703125,-1.109375
model.layers.20.mlp.gate_proj.weight,"(4096, 1024)",8.329277625307441e-05,0.0595974363386631,0.41796875,-0.458984375
model.layers.20.mlp.up_proj.weight,"(4096, 1024)",-3.608693805290386e-05,0.06794308871030807,0.50390625,-0.49609375
model.layers.20.mlp.down_proj.weight,"(1024, 4096)",8.344330126419663e-06,0.06590263545513153,1.3125,-0.8125
model.layers.20.input_layernorm.weight,"(1024,)",0.9472389221191406,0.053355831652879715,1.1875,0.5078125
model.layers.20.post_attention_layernorm.weight,"(1024,)",0.9450531005859375,0.03871731460094452,1.0078125,0.111328125
model.layers.21.self_attn.q_proj.weight,"(1024, 1024)",4.6190045395633206e-05,0.05177154019474983,0.412109375,-0.330078125
model.layers.21.self_attn.k_proj.weight,"(128, 1024)",9.22177787288092e-06,0.038932375609874725,0.35546875,-0.248046875
model.layers.21.self_attn.v_proj.weight,"(128, 1024)",-0.00024160792236216366,0.10165876895189285,0.55078125,-0.482421875
model.layers.21.self_attn.o_proj.weight,"(1024, 1024)",-3.0324676117743365e-05,0.07893051207065582,0.671875,-0.51953125
model.layers.21.mlp.gate_proj.weight,"(4096, 1024)",5.116173269925639e-05,0.05948374792933464,1.140625,-1.1015625
model.layers.21.mlp.up_proj.weight,"(4096, 1024)",-8.878123480826616e-08,0.06841933727264404,1.5078125,-1.6953125
model.layers.21.mlp.down_proj.weight,"(1024, 4096)",4.3025916966143996e-05,0.0657186508178711,2.0625,-1.3203125
model.layers.21.input_layernorm.weight,"(1024,)",1.0634765625,0.06680207699537277,1.2421875,0.47265625
model.layers.21.post_attention_layernorm.weight,"(1024,)",0.946589469909668,0.035687897354364395,1.2109375,0.1279296875
model.layers.22.self_attn.q_proj.weight,"(1024, 1024)",-2.7106525521958247e-06,0.05243531987071037,0.296875,-0.31640625
model.layers.22.self_attn.k_proj.weight,"(128, 1024)",-0.0001329416554654017,0.03999343141913414,0.263671875,-0.35546875
model.layers.22.self_attn.v_proj.weight,"(128, 1024)",-0.00016314160893671215,0.08800601959228516,0.3984375,-0.4140625
model.layers.22.self_attn.o_proj.weight,"(1024, 1024)",2.7078356652054936e-05,0.07237866520881653,1.2109375,-1.1328125
model.layers.22.mlp.gate_proj.weight,"(4096, 1024)",-2.0788893380085938e-05,0.059517085552215576,0.474609375,-0.55859375
model.layers.22.mlp.up_proj.weight,"(4096, 1024)",1.0769880645966623e-05,0.06778834015130997,0.6015625,-0.7265625
model.layers.22.mlp.down_proj.weight,"(1024, 4096)",-6.386364839272574e-05,0.06514324247837067,1.2734375,-1.109375
model.layers.22.input_layernorm.weight,"(1024,)",0.9676971435546875,0.06422684341669083,1.1640625,0.515625
model.layers.22.post_attention_layernorm.weight,"(1024,)",0.9441108703613281,0.03307041525840759,1.296875,0.375
model.layers.23.self_attn.q_proj.weight,"(1024, 1024)",-0.00012656512262765318,0.052599016577005386,0.3046875,-0.462890625
model.layers.23.self_attn.k_proj.weight,"(128, 1024)",-0.0001002746430458501,0.03854969143867493,0.283203125,-0.447265625
model.layers.23.self_attn.v_proj.weight,"(128, 1024)",-0.0004330144729465246,0.08378522843122482,0.33984375,-0.369140625
model.layers.23.self_attn.o_proj.weight,"(1024, 1024)",-2.888997369154822e-05,0.06904317438602448,0.8359375,-0.6171875
model.layers.23.mlp.gate_proj.weight,"(4096, 1024)",2.877737642847933e-05,0.058725640177726746,0.55859375,-0.50390625
model.layers.23.mlp.up_proj.weight,"(4096, 1024)",2.9665956390090287e-05,0.06772410124540329,0.498046875,-0.494140625
model.layers.23.mlp.down_proj.weight,"(1024, 4096)",-3.4384454920655116e-05,0.06251207739114761,1.609375,-1.1328125
model.layers.23.input_layernorm.weight,"(1024,)",0.96368408203125,0.07644884288311005,1.1484375,0.59765625
model.layers.23.post_attention_layernorm.weight,"(1024,)",0.9210433959960938,0.03586331009864807,1.3828125,0.72265625
model.norm.weight,"(1024,)",3.9993896484375,0.5479190349578857,7.625,2.4375
lm_head.weight,"(50304, 1024)",-0.0014581315917894244,0.03565371036529541,0.462890625,-1.078125
